boystownUSA,30,5,3/31/20 9:30 AM,1
Vpipe21,30,6,3/31/20 9:39 AM,3
Individual: th2718,30,1,3/31/20 9:48 AM,8
gamers,30,2,3/31/20 9:52 AM,10
Individual: yrm2106,30,1,3/31/20 10:01 AM,11
Individual: mic2136,30,1,3/31/20 10:05 AM,13
Individual: asp2199,30,1,3/31/20 10:09 AM,14
Housing2020,30,6,3/31/20 10:13 AM,15
ajust2021,30,5,3/31/20 10:22 AM,17
SEAS Pastry,30,4,3/31/20 10:31 AM,21
Individual: lc3270,30,1,3/31/20 10:40 AM,22
Individual: yw3472,30,1,3/31/20 10:44 AM,26
TITAN!,30,5,3/31/20 10:48 AM,28
EC Suite,30,2,3/31/20 10:57 AM,29
Avilucho,30,2,3/31/20 11:06 AM,30
SuiteLife,30,6,3/31/20 11:15 AM,33
RAMMMY,30,2,3/31/20 11:24 AM,34
Individual: jj2816,30,1,3/31/20 11:33 AM,35
Jazz Bous,30,5,3/31/20 11:37 AM,37
Individual: bw2550,30,1,3/31/20 11:46 AM,38
jjsforever,30,2,3/31/20 11:50 AM,41
Banana,30,6,3/31/20 11:59 AM,42
Individual: jal2305,30,1,3/31/20 12:08 PM,43
DidYouRunItWithValgrin,,,,
d,30,4,3/31/20 12:12 PM,47
Sorority Seniors,30,10,3/31/20 12:21 PM,52
Individual: imf2118,30,1,3/31/20 12:30 PM,54
Shells,30,2,3/31/20 12:34 PM,57
Individual: bmr2153,30,1,3/31/20 12:43 PM,58
Individual: jac2391,30,1,3/31/20 12:47 PM,59
weissambrocio,30,2,3/31/20 12:51 PM,63
Individual: rdp2127,30,1,3/31/20 1:00 PM,64
Nicole and Caroline,30,2,3/31/20 1:04 PM,65
TEAM ND,30,6,3/31/20 1:13 PM,68
weareold,30,5,3/31/20 1:22 PM,69
Individual: dll2136,30,1,3/31/20 1:31 PM,70
the brownies,30,4,3/31/20 1:35 PM,73
Papist Pad,30,2,3/31/20 1:44 PM,77
Individual: lsc2157,30,1,3/31/20 1:53 PM,78
Ruffleshehe,30,5,3/31/20 1:57 PM,79
beta fish fight club,30,5,3/31/20 2:06 PM,80
Brothas of John Jay,30,3,3/31/20 2:15 PM,82
wushuplusone,30,4,3/31/20 2:24 PM,84
goodhousingnumber,30,2,3/31/20 2:3PM,85
Individual: emm2293,30,1,3/31/20 2:42 PM,86
tik tok hype house,30,6,3/31/20 2:46 PM,87
Individual: sr3460,30,1,3/31/20 2:55 PM,89
